File: 제22대국회 제429회(정기회) 제2차 과학기술정보방송통신위원회(전체회의 | Speaker: 진술인 | Line: 고민수 고민수입니다.
File: 제22대국회 제429회(정기회) 제2차 과학기술정보방송통신위원회(전체회의 | Speaker: 진술인 | Line: 고민수 단기는 지금 논의하는 게 시급한 사항이기 때문에 이게 단기, 초단기
File: 제22대국회 제429회(정기회) 제2차 과학기술정보방송통신위원회(전체회의 | Speaker: 이상휘 | Line: 고민수 교수님, 제가 추가질의를 할 텐데요.
File: 제22대국회 제429회(정기회) 제2차 과학기술정보방송통신위원회(전체회의 | Speaker: 최민희 | Line: 먼저 강릉원주대학교 법학과 고민수 교수께서 나와 주셨습니다.
File: 제22대국회 제429회(정기회) 제2차 과학기술정보방송통신위원회(전체회의 | Speaker: 최민희 | Line: 그러면 먼저 고민수 교수께서 의견을 진술해 주시기 바랍니다.
File: 제22대국회 제429회(정기회) 제2차 과학기술정보방송통신위원회(전체회의 | Speaker: 최민희 | Line: 고민수 교수 의견 진술해 주시기 바랍니다.
File: 제22대국회 제429회(정기회) 제2차 과학기술정보방송통신위원회(전체회의 | Speaker: 최민희 | Line: 고민수 교수께서 의견을 진술해 주시기 바랍니다.
File: 제22대국회 제429회(정기회) 제2차 과학기술정보방송통신위원회(전체회의 | Speaker: 한민수 | Line: 고민수 교수님 하나만……
File: 제22대국회 제429회(정기회) 제1차 과학기술정보방송통신위원회(정보통신 | Speaker: 이복우 | Line: 고민수 진술인은 전문성 있는 판단하고 공공성·시장성 균형을 위해서 합의제 기구가
File: 제22대국회 제434회(임시회) 제1차 과학기술정보방송통신위원회(예산결산 | Speaker: 김현 | Line: 오늘 심사를 위해 고민수 상임위원께서 저희 방미통위 위원으로 되시고 처음 회의에
File: 제22대국회 제434회(임시회) 제1차 과학기술정보방송통신위원회(예산결산 | Speaker: 김현 | Line: 오늘 심사를 위해 고민수 상임위원께서 저희 방미통위 위원으로 되시고 처음 회의에
File: 제22대국회 제434회(임시회) 제1차 과학기술정보방송통신위원회(예산결산 | Speaker: 김현 | Line: 상임위원 고민수 안녕하십니까?
File: 제22대국회 제434회(임시회) 제1차 과학기술정보방송통신위원회(예산결산 | Speaker: 김현 | Line: 방송미디어통신위원회 상임위원 고민수입니다.
File: 제22대국회 제434회(임시회) 제1차 과학기술정보방송통신위원회(예산결산 | Speaker: 김현 | Line: 상임위원 고민수 먼저 기본경비와 관련해서요. 해당 기본경비는
File: 제22대국회 제434회(임시회) 제1차 과학기술정보방송통신위원회(예산결산 | Speaker: 김현 | Line: 상임위원 고민수 TBS 운영 지원 관련해서는 수도권에 거주하
File: 제22대국회 제434회(임시회) 제1차 과학기술정보방송통신위원회(예산결산 | Speaker: 김현 | Line: 상임위원 고민수 투명성센터 설립과 관련해서는 제정해 주신
File: 제22대국회 제434회(임시회) 제1차 과학기술정보방송통신위원회(예산결산 | Speaker: 김현 | Line: 상임위원 고민수 지금 중동전쟁의 문제가 국민들의 삶에 막대
File: 제22대국회 제434회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Speaker: 최민희 | Line: 아니, 숙지하는 데…… 지금 거기 들어가신 위원님들은요 고민수 위원
File: 제22대국회 제434회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Speaker: 최민희 | Line: 아니, 숙지하는 데…… 지금 거기 들어가신 위원님들은요 고민수 위원
File: 제22대국회 제434회(임시회) 제1차 과학기술정보방송통신위원회(정보통신 | Speaker: 김현 | Line: 상임위원 고민수 지금 말씀해 주신 것처럼 지난번 법안소위 이
File: 제22대국회 제434회(임시회) 제1차 과학기술정보방송통신위원회(정보통신 | Speaker: 김현 | Line: 상임위원 고민수 말씀해 주신 안대로 수용하고 동의합니다.
