File: 제22대국회 제415회(임시회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 17
File: 제22대국회 제415회(임시회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword [contains 원회]: 위원회 | Count: 11
File: 제22대국회 제415회(임시회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 국민 | Count: 6
File: 제22대국회 제415회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 대표발 | Count: 78
File: 제22대국회 제415회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 이훈 | Count: 21
File: 제22대국회 제415회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 17
File: 제22대국회 제415회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 국민 | Count: 7
File: 제22대국회 제415회(임시회) 제3차 과학기술정보방송통신위원회(전체회의 | Keyword: 대표발 | Count: 36
File: 제22대국회 제415회(임시회) 제3차 과학기술정보방송통신위원회(전체회의 | Keyword: 국민 | Count: 25
File: 제22대국회 제415회(임시회) 제3차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 25
File: 제22대국회 제415회(임시회) 제3차 과학기술정보방송통신위원회(전체회의 | Keyword: 이훈 | Count: 16
File: 제22대국회 제415회(임시회) 제3차 과학기술정보방송통신위원회(전체회의 | Keyword [contains 원회]: 위원회 | Count: 12
File: 제22대국회 제415회(임시회) 제4차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 27
File: 제22대국회 제415회(임시회) 제4차 과학기술정보방송통신위원회(전체회의 | Keyword: 대표발 | Count: 23
File: 제22대국회 제415회(임시회) 제4차 과학기술정보방송통신위원회(전체회의 | Keyword: 하지 | Count: 10
File: 제22대국회 제415회(임시회) 제1차 과학기술정보방송통신위원회(안건조정 | Keyword: 그리 | Count: 6
File: 제22대국회 제415회(임시회) 제1차 과학기술정보방송통신위원회(안건조정 | Keyword [contains 원회]: 안건조정위원회 | Count: 3
File: 제22대국회 제415회(임시회) 제5차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 31
File: 제22대국회 제415회(임시회) 제5차 과학기술정보방송통신위원회(전체회의 | Keyword [contains 원회]: 위원회 | Count: 23
File: 제22대국회 제415회(임시회) 제5차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 18
File: 제22대국회 제415회(임시회) 제5차 과학기술정보방송통신위원회(전체회의 | Keyword: 국민 | Count: 14
File: 제22대국회 제415회(임시회) 제6차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 33
File: 제22대국회 제415회(임시회) 제6차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 17
File: 제22대국회 제415회(임시회) 제6차 과학기술정보방송통신위원회(전체회의 | Keyword [contains 원회]: 위원회 | Count: 13
File: 제22대국회 제416회(임시회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 대표발 | Count: 50
File: 제22대국회 제416회(임시회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 40
File: 제22대국회 제416회(임시회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 26
File: 제22대국회 제416회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 43
File: 제22대국회 제416회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 15
File: 제22대국회 제416회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 하지 | Count: 12
File: 제22대국회 제416회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 그다음 | Count: 11
File: 제22대국회 제416회(임시회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 필요 | Count: 9
File: 제22대국회 제416회(임시회) 제3차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 22
File: 제22대국회 제416회(임시회) 제3차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 16
File: 제22대국회 제416회(임시회) 제3차 과학기술정보방송통신위원회(전체회의 | Keyword: 그다음 | Count: 9
File: 제22대국회 제416회(임시회) 제4차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 41
